Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
Birchcliffe-Cliffside,122,N/A,6.00,"22,291.00","10,730.00","11,565.00","21,695.00","18,350.00","12,000.00","1,055.00","6,355.00","3,120.00","10,170.00","5,170.00","2,720.00","6,170.00","3,015.00","15,940.00",485.00,$849.00,"$90,256.00","$57,017.00","1,387.00","1,790.00","1,313.00","3,050.00",13.5678392,32.74,370.00,22.00,163.00,8.00,76.00,19.00,16.00,6.00,0.00,0.00,228.00,46.00,85.00,15.00,825.0
Cliffcrest,123,N/A,7.10,"15,935.00","7,740.00","8,195.00","15,805.00","13,255.00","8,200.00",795.00,"5,045.00","2,380.00","7,160.00","3,640.00","1,720.00","4,070.00","1,755.00","9,235.00",600.00,$839.00,"$83,694.00","$60,384.00",491.00,"1,290.00","1,074.00","2,660.00",18.24817518,25.55,510.00,18.00,89.00,9.00,57.00,18.00,10.00,3.00,0.00,0.00,121.00,33.00,74.00,14.00,435.0
Kennedy Park,124,N/A,3.60,"17,123.00","8,325.00","8,805.00","17,100.00","14,320.00","8,510.00",775.00,"5,810.00","3,100.00","6,925.00","3,025.00","2,330.00","3,670.00","2,870.00","5,215.00","1,170.00",$742.00,"$58,513.00","$41,776.00",532.00,"2,450.00","2,141.00","4,810.00",7.843137255,34.96,"1,360.00",18.00,183.00,11.00,45.00,27.00,11.00,4.00,0.00,1.00,206.00,60.00,86.00,10.00,645.0
Ionview,125,N/A,2.00,"13,641.00","6,470.00","7,165.00","13,610.00","11,295.00","6,905.00",610.00,"4,380.00","2,430.00","5,655.00","2,600.00","1,725.00","1,985.00","3,085.00","3,660.00","1,510.00",$863.00,"$57,069.00","$42,971.00",270.00,"1,690.00","1,497.00","3,350.00",8.724832215,47.14,348.00,13.00,82.00,10.00,17.00,8.00,5.00,4.00,0.00,0.00,60.00,14.00,33.00,19.00,470.0
Dorset Park,126,N/A,6.00,"25,003.00","11,715.00","13,285.00","24,380.00","20,125.00","12,735.00","1,230.00","7,415.00","4,045.00","10,175.00","4,945.00","3,345.00","5,290.00","3,235.00","5,440.00","1,960.00",$921.00,"$60,973.00","$47,630.00","2,656.00","3,010.00","2,366.00","6,590.00",16.81034483,32.27,468.00,28.00,154.00,10.00,69.00,41.00,45.00,13.00,0.00,0.00,215.00,123.00,85.00,12.00,605.0
Bendale,127,N/A,7.40,"29,960.00","14,405.00","15,560.00","29,100.00","24,620.00","14,270.00","1,255.00","10,335.00","4,455.00","12,265.00","6,295.00","4,115.00","6,720.00","3,275.00","8,020.00","1,970.00",$977.00,"$65,560.00","$51,254.00","6,990.00","3,170.00","2,251.00","6,870.00",16.58986175,29.12,504.00,30.00,195.00,30.00,56.00,55.00,46.00,12.00,3.00,2.00,305.00,185.00,113.00,22.00,545.0
Agincourt South-Malvern West,128,N/A,7.90,"23,757.00","11,605.00","12,155.00","23,470.00","20,400.00","12,045.00","1,185.00","8,345.00","4,065.00","10,285.00","5,765.00","3,120.00","5,250.00","1,635.00","3,320.00","1,735.00",$971.00,"$68,465.00","$53,886.00","3,851.00","3,110.00","1,190.00","6,400.00",17.82178218,35.26,250.00,9.00,106.00,9.00,61.00,18.00,26.00,11.00,0.00,0.00,168.00,158.00,70.00,18.00,460.0
Agincourt North,129,N/A,7.30,"29,113.00","13,910.00","15,200.00","28,825.00","25,005.00","13,865.00","1,360.00","11,130.00","5,965.00","10,985.00","5,805.00","3,155.00","7,335.00","1,810.00","2,465.00","2,165.00",$976.00,"$67,622.00","$55,893.00","1,465.00","3,980.00","1,366.00","8,250.00",12.33480176,38.09,247.00,10.00,63.00,8.00,49.00,12.00,16.00,4.00,0.00,0.00,128.00,79.00,58.00,8.00,365.0
Milliken,130,N/A,9.40,"26,572.00","12,850.00","13,720.00","26,060.00","22,375.00","12,195.00","1,160.00","10,185.00","5,675.00","8,940.00","4,635.00","3,010.00","6,785.00","1,000.00",900.00,"2,190.00",$934.00,"$66,372.00","$55,464.00","4,296.00","3,960.00","1,799.00","8,330.00",11.41732283,25.25,156.00,12.00,62.00,0.00,67.00,25.00,34.00,11.00,0.00,2.00,160.00,101.00,46.00,3.00,250.0
Rouge,131,N/A,37.60,"46,496.00","22,475.00","24,020.00","46,060.00","38,110.00","24,645.00","2,010.00","13,485.00","5,675.00","19,795.00","9,195.00","3,910.00","11,260.00","1,805.00","8,750.00","1,595.00","$1,082.00","$86,997.00","$72,784.00","3,356.00","3,760.00","2,104.00","7,770.00",13.43873518,21.95,332.00,20.00,124.00,12.00,76.00,29.00,19.00,12.00,0.00,4.00,230.00,197.00,137.00,30.00,445.0
Malvern,132,N/A,8.90,"43,794.00","21,015.00","22,780.00","43,765.00","35,880.00","22,260.00","2,335.00","13,610.00","7,380.00","16,960.00","7,230.00","4,790.00","9,510.00","3,900.00","4,580.00","2,745.00",$958.00,"$64,497.00","$53,425.00","1,745.00","5,170.00","3,961.00","11,490.00",11.06290672,38.63,"1,014.00",14.00,228.00,16.00,65.00,54.00,36.00,7.00,4.00,1.00,232.00,175.00,145.00,36.00,905.0
Centennial Scarborough,133,N/A,5.40,"13,362.00","6,490.00","6,875.00","13,340.00","11,190.00","7,185.00",545.00,"4,010.00","1,135.00","7,075.00","4,055.00",765.00,"3,965.00",305.00,"7,525.00",210.00,"$1,128.00","$102,278.00","$86,816.00",331.00,690.00,313.00,"1,330.00",10.37735849,9.35,126.00,1.00,38.00,0.00,18.00,11.00,5.00,1.00,0.00,0.00,67.00,60.00,35.00,3.00,175.0
Highland Creek,134,N/A,5.10,"12,494.00","6,200.00","6,300.00","12,465.00","10,925.00","6,655.00",565.00,"4,270.00","1,295.00","6,105.00","3,055.00",900.00,"3,360.00",445.00,"3,185.00",325.00,$909.00,"$98,857.00","$87,321.00",540.00,"1,110.00",549.00,"2,120.00",14.81481481,0.63,0.00,6.00,50.00,12.00,34.00,7.00,8.00,1.00,0.00,0.00,83.00,60.00,28.00,4.00,150.0
Morningside,135,N/A,5.60,"17,455.00","8,465.00","9,005.00","17,150.00","14,280.00","8,760.00",995.00,"5,510.00","2,405.00","7,480.00","3,220.00","2,090.00","3,560.00","2,300.00","4,290.00","1,215.00",$857.00,"$66,024.00","$50,069.00","1,467.00","2,140.00","1,928.00","4,580.00",11.35135135,6.67,523.00,14.00,136.00,8.00,19.00,12.00,13.00,0.00,0.00,2.00,215.00,84.00,89.00,19.00,550.0
West Hill,136,N/A,9.60,"27,392.00","13,070.00","14,320.00","26,960.00","22,395.00","13,100.00","1,515.00","9,300.00","4,285.00","10,965.00","4,330.00","3,230.00","5,875.00","3,820.00","9,885.00","1,455.00",$686.00,"$65,871.00","$46,803.00","1,441.00","3,710.00","4,561.00","7,640.00",19.36619718,28.06,"2,052.00",54.00,325.00,18.00,72.00,56.00,14.00,7.00,0.00,5.00,444.00,71.00,158.00,18.00,1155.0
Woburn,137,N/A,12.20,"53,485.00","25,955.00","27,520.00","53,005.00","43,400.00","25,180.00","2,665.00","18,215.00","9,140.00","21,370.00","10,860.00","6,605.00","9,905.00","8,475.00","12,495.00","4,925.00",$840.00,"$63,186.00","$47,908.00","5,041.00","6,860.00","5,576.00","15,430.00",15.18987342,27.73,"2,594.00",39.00,293.00,32.00,78.00,58.00,31.00,16.00,1.00,5.00,581.00,212.00,208.00,36.00,1470.0
Eglinton East,138,N/A,3.20,"22,776.00","10,650.00","12,130.00","22,265.00","18,065.00","10,690.00","1,155.00","7,385.00","3,975.00","8,510.00","3,650.00","2,830.00","3,585.00","4,475.00","4,880.00","2,315.00",$874.00,"$57,357.00","$42,790.00",986.00,"2,930.00","3,020.00","6,290.00",20.30651341,34.79,885.00,26.00,165.00,13.00,62.00,32.00,22.00,6.00,0.00,1.00,184.00,59.00,94.00,22.00,885.0
Scarborough Village,139,N/A,3.10,"16,724.00","7,965.00","8,765.00","16,430.00","13,075.00","7,540.00",980.00,"5,535.00","2,830.00","6,325.00","2,935.00","2,460.00","2,715.00","3,195.00","4,370.00","1,625.00",$833.00,"$61,631.00","$40,181.00",714.00,"2,400.00","2,889.00","5,500.00",19.5,35.48,788.00,28.00,149.00,13.00,34.00,22.00,9.00,2.00,6.00,1.00,248.00,41.00,75.00,30.00,760.0
Guildwood,140,N/A,3.80,"9,917.00","4,625.00","5,290.00","9,650.00","8,360.00","4,975.00",395.00,"3,390.00","1,050.00","5,060.00","2,715.00",960.00,"3,095.00",860.00,"6,785.00",145.00,"$1,081.00","$92,858.00","$67,678.00",364.00,440.00,298.00,790.00,10.71428571,15.57,48.00,4.00,36.00,8.00,17.00,8.00,4.00,1.00,0.00,0.00,67.00,17.00,44.00,3.00,145.0
